LocationID,longitude,latitude
1,-74.17401355230567,40.691810713309245
2,-73.83128136183436,40.61675444247725
3,-73.84741777485786,40.86446328138025
4,-73.97698701132431,40.72375379672086
5,-74.18848789720424,40.55267327306555
6,-74.07176540870081,40.600324972146076
7,-73.91968251244683,40.761487845281
8,-73.9231148152998,40.77854980664475
9,-73.78794950376357,40.751036811643196
10,-73.79099734765846,40.67894637383652
11,-74.00749486885448,40.604270419025084
12,-74.01555754340723,40.7029348541133
13,-74.01608776605782,40.71199276049681
14,-74.02988934178103,40.62483101624449
15,-73.78597761932465,40.78334007961367
16,-73.77342193692266,40.76273875114601
17,-73.9499064660882,40.691511956318486
18,-73.89018720463176,40.86767506232158
19,-73.72664799152533,40.735494458456124
20,-73.88586684433066,40.85777495777985
21,-73.98352400981288,40.601433263408495
22,-73.9952574468351,40.61220660025321
23,-74.17087545974854,40.60643624962678
24,-73.96549475256874,40.80195919543619
25,-73.98611284103784,40.68563734441473
26,-73.9886619261173,40.63095216862677
27,-73.9068341006296,40.55915287676981
28,-73.80871932612727,40.71159288256312
29,-73.96122020355114,40.58092388261424
30,-73.82192945852636,40.60368556253616
31,-73.87548009750512,40.85773089475869
32,-73.86491001114896,40.864006969649594
33,-73.99526793611086,40.695779988267084
34,-73.97117703818046,40.70087540770344
35,-73.91025058630446,40.664013150942516
36,-73.91772684976301,40.700521478137375
37,-73.92224470870903,40.69498198901078
38,-73.73556459680505,40.694351959978114
39,-73.89973716547523,40.63803634359197
40,-73.995964731602,40.67917157051588
41,-73.95129890288412,40.80432713421818
42,-73.94078093735986,40.818264868811525
43,-73.96557584454081,40.78245900361537
44,-74.23353766857728,40.52549599756906
45,-73.99813919884163,40.712456964462696
46,-73.78200353009528,40.84907295412359
47,-73.90032799795264,40.84271933291722
48,-73.98983946825025,40.762252692818834
49,-73.96237048494764,40.687967934308354
50,-73.99512494100921,40.766238998560425
51,-73.82826213975883,40.87396897301085
52,-73.99672474663241,40.686654019873885
53,-73.84281382110922,40.780895342925
54,-74.0029045214429,40.6871920672594
55,-73.98792494068988,40.576954949327565
56,-73.85885896815074,40.74140076842258
56,-73.8535820716918,40.75181463404004
58,-73.82036671665254,40.84148236701529
59,-73.89498230184167,40.83855691937191
60,-73.88590401461488,40.8340016327143
61,-73.93927770950913,40.67447463353302
62,-73.94880861063746,40.66654738689296
63,-73.87817624650191,40.68383870535703
64,-73.73933156703677,40.76063227559508
65,-73.98608297596364,40.69532904372817
66,-73.9857091123897,40.702252015851066
67,-74.01379384948257,40.61962495644788
68,-73.99991706445945,40.748429523524635
69,-73.91503950303826,40.831393015545736
70,-73.86839397243509,40.763338105707696
71,-73.93796581972073,40.644288267390216
72,-73.92224733133087,40.65235979809379
73,-73.80726491093878,40.754107644570794
74,-73.93734650489253,40.801193473529985
75,-73.9457582005704,40.7900111306086
76,-73.87681827053218,40.66094946476994
77,-73.89535406017748,40.666556236326265
78,-73.88552952607235,40.844961899057466
79,-73.98593042022468,40.72762851370384
80,-73.93677800872501,40.715358284127596
81,-73.83667554893603,40.880921879832734
82,-73.87712870706989,40.73949620573436
83,-73.89222636953407,40.738333566888535
84,-74.18767725707619,40.528678635433934
85,-73.95161497742771,40.64613378969728
86,-73.75524284988563,40.602428203077096
87,-74.00748543107726,40.706796641522764
88,-74.01149817103624,40.70337588203998
